customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
11986dcd-c0f2-4030-908f-b3e81b2fb377,Yashasvi Morar,ramindrajit@example.org,2312090837,"57/01
Kothari Street, Chennai, Tamil Nadu",2020-02-23,Yes,American,3,3.88
e1bd6cd3-e3b5-4e7c-927d-36340b960377,Nimrat Dube,paimahika@example.com,+915381089296,"55, Mahal Street, Chennai, Tamil Nadu",2023-03-14,Yes,Thai,32,3.14
1d2588dc-bed8-49c5-b939-768ab34f3423,Yuvraj Wagle,idika61@example.net,2418786245,"732, Swaminathan Marg, Chennai, Tamil Nadu",2020-10-02,No,American,12,3.27
f7700dfa-4aeb-4875-9f16-9605c0ab6a30,Hema Puri,lekha01@example.net,05190544987,"81/46
Prabhu Nagar, Chennai, Tamil Nadu",2021-01-20,Yes,Indian,39,2.9
574aa842-6218-4881-836f-e5152ca145bb,Faris Deshmukh,hdugar@example.net,01931265717,"67
Deshmukh Zila, Chennai, Tamil Nadu",2022-08-01,No,Indian,45,1.82
e8aeaa53-9703-4f02-99d1-76b682fdb2ee,Hemani Raja,kantliam@example.net,6760173854,"H.No. 958
Bhardwaj Zila, Chennai, Tamil Nadu",2020-02-27,Yes,American,17,1.89
181295be-ddd9-43e7-bc20-74d857327622,Girindra Roy,imaran64@example.org,+914955373189,"87/605
Prashad Street, Chennai, Tamil Nadu",2024-08-28,Yes,Thai,27,3.43
da636026-0b13-4052-94a4-4f1cd2155a55,Lakshit Sarna,theodore09@example.net,06016728652,"H.No. 015, Din Circle, Chennai, Tamil Nadu",2024-05-31,No,Indian,11,3.12
57b004ac-7a6b-42b2-b02e-a051a1100b48,Dominic Chacko,rmangat@example.org,07229403507,"38/31, Pall Chowk, Chennai, Tamil Nadu",2024-10-16,No,Thai,37,1.9
dda64857-2311-4663-9db7-edd1be3453ca,Dayita Patla,khannaqasim@example.net,+919590832576,"H.No. 61, Maharaj Marg, Chennai, Tamil Nadu",2020-07-08,No,Chinese,45,3.18
eb33ed23-f4f9-4dde-b637-d7d57c3c387e,Balveer Bhandari,ekbal34@example.net,08188741264,"H.No. 64, Nayar Path, Chennai, Tamil Nadu",2020-01-05,Yes,Italian,28,3.28
95dca8e1-cbd0-47c6-9241-e127091478e2,Yuvraj Yadav,chahalzinal@example.org,1351162907,"406, Pingle Nagar, Chennai, Tamil Nadu",2022-10-21,No,Indian,13,2.44
114eda98-7b81-4818-a048-c099935df8ff,Meera Bhavsar,yjaggi@example.net,+914484918094,"307, Munshi Path, Chennai, Tamil Nadu",2022-01-25,Yes,Indian,6,3.34
1d2431b3-7542-401b-b0d0-d21f006fdf03,Naksh Goda,georgebutala@example.com,01422496363,"12/766, Samra Zila, Chennai, Tamil Nadu",2024-01-20,Yes,American,25,2.11
27272fed-4dac-401d-9096-551b0753c57c,Upma Sidhu,urishilla43@example.org,5654385848,"45/820, Pai Chowk, Chennai, Tamil Nadu",2020-02-23,Yes,Thai,9,3.6
26128e25-3966-41f0-acbb-4a7105c1ef3e,Gavin Andra,ksoni@example.com,7445507066,"H.No. 956, Gupta Zila, Chennai, Tamil Nadu",2024-03-06,No,Chinese,18,4.7
cb5eaa7b-9d9f-4010-b2ea-e87adf69975b,Lavanya Misra,reyansh06@example.org,+910871485487,"388, Kumar Road, Chennai, Tamil Nadu",2020-02-10,Yes,Indian,6,4.87
b24d1511-7809-4179-932c-b75cbe98f560,Michael Raman,bloyal@example.com,6522508459,"H.No. 31
Anne Marg, Chennai, Tamil Nadu",2023-04-11,No,Indian,44,1.45
dbf6e0fe-104e-4b49-ad72-9b0f138e8b2f,Onveer Jaggi,mannansuhani@example.com,03212777743,"59/20, Sur Street, Chennai, Tamil Nadu",2022-10-28,No,Indian,18,4.96
2e2a7de6-f974-4730-8f6b-e979ce9ce4b7,Sudiksha Bahri,xpalla@example.com,06548706895,"H.No. 798, Ahuja Ganj, Chennai, Tamil Nadu",2024-05-14,No,Thai,19,2.28
6ce72b60-fb31-46fe-8e1d-98ca0ab32ff8,Wriddhish Mittal,isaiahdivan@example.org,+916922630673,"H.No. 85
Sinha Marg, Chennai, Tamil Nadu",2020-09-09,No,American,9,2.25
56731e7c-8663-4278-acae-ac399f7698a9,Harrison Walia,devikachana@example.com,1927061945,"17/475, Agrawal Path, Chennai, Tamil Nadu",2020-05-27,No,Thai,44,3.59
0fe40f13-fafe-4182-890a-afd14f4a7960,Charan Saxena,bkeer@example.org,+914399036302,"74/180, Nori Marg, Chennai, Tamil Nadu",2021-04-27,Yes,Mexican,7,2.16
5d517600-74c0-4a1b-9cbb-f367670d7b4b,Yochana Shanker,bahadurjitgoda@example.org,04883452508,"73, Agate, Chennai, Tamil Nadu",2021-07-25,Yes,Indian,7,2.46
0f3a6e2a-4338-4b16-809b-0d82bcc1451b,Lipika Manda,narayananyutika@example.org,5723706563,"96/05, Madan Circle, Chennai, Tamil Nadu",2023-07-27,Yes,Italian,14,3.9
52fd61d3-ea0e-4a72-9173-7cd89fdab24f,Simon Mittal,kapadiadaniel@example.org,5352695242,"26/21, Bath Path, Chennai, Tamil Nadu",2023-06-12,No,Thai,46,2.5
760b29ed-f59f-4bbc-9f13-69e94ac5fa83,Kevin Palla,qkeer@example.net,5849397138,"62, Jhaveri Zila, Chennai, Tamil Nadu",2022-05-07,Yes,Chinese,49,1.79
6052e7e1-f6f2-4419-b6bf-7048fcea5d2f,Frederick Mall,qswaminathan@example.com,06744766107,"88/815
Chakrabarti Ganj, Chennai, Tamil Nadu",2022-06-28,No,Thai,2,1.29
35ffff76-34b9-4b33-93bf-e845efc8dfa4,Simon Gokhale,diyabumb@example.com,04527616268,"H.No. 365, Deshpande Zila, Chennai, Tamil Nadu",2022-12-03,Yes,Thai,6,1.24
6b6c5590-4974-4423-958e-6e04b7f24289,Chakradhar Biswas,rsood@example.org,+913006840650,"63/211, Amble, Chennai, Tamil Nadu",2022-06-24,No,American,13,2.47
af7b612c-540c-4e9c-8d46-e4af8f336a19,Janya Agrawal,warriorkabir@example.net,3283735032,"H.No. 226
Devan Circle, Chennai, Tamil Nadu",2022-12-26,Yes,Chinese,31,4.92
151c9e49-ac92-441d-86bf-2d0a35cfd97c,Shravya Padmanabhan,lopadin@example.org,8149892768,"H.No. 420
Sura Path, Chennai, Tamil Nadu",2020-10-07,Yes,Chinese,44,2.65
18f5467b-2a5a-4fa9-a216-bdc9fc3c98b7,Chanchal Kala,krishnaissac@example.net,+918098097426,"25/967, Krish, Chennai, Tamil Nadu",2022-03-18,Yes,Indian,37,2.06
2c350ae0-8e31-4ab5-a225-3cc9ab607dfd,Veda Chada,farhan19@example.com,+913675021244,"H.No. 51
Lad Nagar, Chennai, Tamil Nadu",2023-11-18,No,American,12,2.2
957f739e-7bdd-45e4-bc7a-b3be286896bf,Charvi Narain,joshirehaan@example.com,+910845247236,"78
Johal Street, Chennai, Tamil Nadu",2024-06-01,No,Chinese,21,4.08
85e5ef40-58f3-4f97-b1d9-83c7b4d5ecb2,Lopa Rajan,saurora@example.org,01479815060,"723, Chander Road, Chennai, Tamil Nadu",2023-05-05,Yes,Chinese,29,2.32
a188b99f-9efc-4465-9337-d421192c867b,Ekta Date,dayitamisra@example.org,8566524484,"H.No. 90
Prabhakar Chowk, Chennai, Tamil Nadu",2022-07-02,No,Mexican,8,3.53
82881cc8-5504-4102-a812-d0a343300335,Warhi Gupta,nihal20@example.net,01094495913,"H.No. 858
Tailor Road, Chennai, Tamil Nadu",2023-06-08,Yes,Italian,36,3.87
735e772e-a4a1-47e2-a489-bf533d346214,Nachiket Shukla,manan69@example.org,+916863181748,"94
Dugar Path, Chennai, Tamil Nadu",2024-01-06,Yes,Mexican,12,1.05
e5185d1c-3e2b-491e-94d8-5867542e9d13,Aryan Butala,labanpai@example.net,3218777593,"609, Sangha Road, Chennai, Tamil Nadu",2022-03-13,Yes,Chinese,14,1.25
71851b2e-22db-4d69-8b0d-1a07198bfcaf,Waida Prasad,mittalethan@example.net,+918395597028,"63, Shankar Nagar, Chennai, Tamil Nadu",2024-10-07,Yes,Italian,39,3.72
cced0e43-f895-4494-8492-12f15526d831,Aarna Menon,sulepranit@example.com,6370918004,"82/89, Mohanty Road, Chennai, Tamil Nadu",2023-05-05,Yes,Mexican,39,2.56
1fc10a61-2eb7-4cc6-9658-0376d0b1fbc7,Eshana Tripathi,aarnavrout@example.net,+914467528028,"340, Grover Zila, Chennai, Tamil Nadu",2020-03-11,Yes,American,24,4.22
b7c5cf44-2b0f-4800-b91f-221b2bd6a75d,Brijesh Wali,akshay59@example.com,+919699717805,"214
Radhakrishnan Nagar, Chennai, Tamil Nadu",2023-11-05,No,Mexican,32,4.55
044ba75f-8b76-428c-babe-eaffd5ccac62,Jhalak Rama,dhillondamini@example.org,0208193638,"H.No. 322, Nath Zila, Chennai, Tamil Nadu",2022-08-11,Yes,Indian,38,1.05
75838213-0151-42ab-9d65-4aa9112eabb6,Nisha Bhatti,deepagill@example.net,08547457257,"96
Parmar Zila, Chennai, Tamil Nadu",2024-04-21,Yes,Mexican,37,3.58
f6d69ada-52f7-4e03-a68d-152d898c4800,Aishani Mukhopadhyay,moraralexander@example.net,09880655416,"21/614
Shere Circle, Chennai, Tamil Nadu",2024-02-20,No,Mexican,15,2.87
a01dd6fa-e4de-443d-b1d2-5fc5642e8108,Ishaan Mitter,manbir47@example.org,+913422154706,"12/91
Gupta Zila, Chennai, Tamil Nadu",2022-12-09,Yes,Thai,37,4.48
50c6440e-8b89-4551-aec9-142fa6bc2173,Nidhi Sengupta,ladsaumya@example.com,+914163521490,"67
Bhardwaj Nagar, Chennai, Tamil Nadu",2024-07-13,Yes,Italian,1,2.08
af12f524-5380-4edc-8339-4e0dccb6871e,Leena Barman,upma34@example.net,4845654415,"H.No. 007, Tella Chowk, Chennai, Tamil Nadu",2023-11-08,Yes,American,31,4.9
79008d60-01aa-455d-8d29-26e71599b875,Urishilla Atwal,kvala@example.com,+917772964466,"869
Bumb, Chennai, Tamil Nadu",2021-04-30,Yes,Mexican,49,4.82
66434487-afdd-4d0a-b94b-cbfc54c72db2,Dalaja Warrior,jeremiah06@example.com,+911155702752,"541
Goel Zila, Chennai, Tamil Nadu",2022-08-13,Yes,Thai,33,1.32
a947a410-4ed8-4be4-836e-96cb84441cfd,Saanvi Mand,hritik31@example.org,+917879625139,"H.No. 65, Muni Zila, Chennai, Tamil Nadu",2023-07-25,Yes,Chinese,40,2.64
e5bfc2f4-4829-4f8a-bc7b-ef682d3aec31,Falan Subramanian,hmemon@example.com,+912272234546,"09/27, Chadha Path, Chennai, Tamil Nadu",2020-05-19,Yes,Thai,17,2.43
170b4a14-52ff-49b5-ae28-b81ca7c8e112,Onkar Basu,chandajeremiah@example.org,5683135603,"H.No. 914
Chand, Chennai, Tamil Nadu",2022-03-02,Yes,Thai,21,2.7
da198539-ef18-4a1e-a858-0cbcf258d93b,Laksh Shah,irya69@example.org,8959929154,"H.No. 66
Butala Circle, Chennai, Tamil Nadu",2022-08-23,Yes,Mexican,3,2.03
b87e4eaf-0e30-48d2-bbdb-6bf40f58a043,Anya Vaidya,anika85@example.com,8882275366,"22/517
Aurora Circle, Chennai, Tamil Nadu",2021-02-19,No,Italian,6,1.23
2151c255-fd65-404e-94bd-78cbe1cb01e9,Faraj Shan,anirudhtak@example.net,+913016227737,"10/834, Babu Chowk, Chennai, Tamil Nadu",2022-02-13,No,Thai,13,2.73
853b889a-037f-4f8c-a76b-ee53e5419875,Gaurangi Gupta,sharafvivaan@example.org,6019351728,"24, Rai Zila, Chennai, Tamil Nadu",2024-07-12,Yes,Indian,30,3.15
3e09e957-674f-4de5-aabf-3d235e1766ff,Dhruv D’Alia,amaira56@example.org,+914996282194,"46/15, Chadha Circle, Chennai, Tamil Nadu",2023-09-13,Yes,Chinese,33,1.51
5abb88b2-0b86-47a2-a230-ca9c6981ad18,Watika Arora,bainsdalbir@example.net,05148575463,"74
Bhardwaj Chowk, Chennai, Tamil Nadu",2021-05-20,Yes,Thai,14,1.44
835cd370-e423-4491-9b81-c28a96eaab2f,Indali Gaba,krisha91@example.com,01370850776,"H.No. 53, Rai Circle, Chennai, Tamil Nadu",2021-07-09,Yes,Italian,48,3.76
83df17f9-c081-4a21-9af7-9e64eefb2848,Wazir Dube,zaidmander@example.net,+912139999713,"H.No. 70, Ben Circle, Chennai, Tamil Nadu",2020-12-06,Yes,Italian,13,4.17
06f29fc8-b8b3-4d02-b356-6844414652a1,Geetika Sekhon,xthaker@example.org,4495914268,"33
Sheth Chowk, Chennai, Tamil Nadu",2024-11-26,No,Mexican,3,1.92
fecfd629-d730-4f03-af3e-8be4aa67323e,Manan Arya,yashvi79@example.net,05011797330,"49/34, Khalsa Road, Chennai, Tamil Nadu",2020-03-11,No,Italian,17,1.44
77762718-ce41-4f82-90cd-d03ca4064be7,Varsha Batta,issacyashvi@example.net,7756435859,"01/42
Dash Marg, Chennai, Tamil Nadu",2022-01-10,No,Thai,40,4.05
f9c4cf12-fdff-4b64-b412-a18a6d9fc752,Abhiram Bera,jagrati58@example.net,+910124374098,"768
Gulati Path, Chennai, Tamil Nadu",2020-03-02,Yes,Chinese,12,1.17
ccb9373e-e088-4b27-8b52-954a6c439659,Krisha Krishnamurthy,pillayria@example.com,2465254708,"86/784
Sampath Zila, Chennai, Tamil Nadu",2021-03-31,No,Thai,33,1.81
aaa7a0ab-3214-4866-9e29-b5d72b3466e8,Atharv Tank,chameliguha@example.net,08143146227,"H.No. 915, Warrior Zila, Chennai, Tamil Nadu",2020-04-15,No,Thai,16,2.72
2ee38a08-aebd-4d0e-8e09-6bc50d61cb9d,Onkar Bobal,xsaha@example.com,03637967687,"681, Bobal Ganj, Chennai, Tamil Nadu",2022-09-02,Yes,Italian,30,3.83
12bc8c1d-0080-4906-a628-be9412a0dc4a,Hitesh Parmar,ishwar97@example.com,8520566789,"H.No. 92
Vig Circle, Chennai, Tamil Nadu",2023-11-22,Yes,Mexican,50,2.71
70b51b91-18e6-48a0-8e35-013d8e449c2d,Madhavi Tiwari,sanaya83@example.net,00079281591,"H.No. 843, Nagi Path, Chennai, Tamil Nadu",2022-08-29,Yes,Italian,22,1.15
6680457f-fd1e-454e-947c-736b22b8cd48,Jacob Saini,jack95@example.com,+914263745303,"H.No. 97, Singh Street, Chennai, Tamil Nadu",2022-01-19,No,Indian,22,1.39
a65c9952-51d4-449b-938f-7b595a78fdd3,Kiaan Merchant,hnayak@example.org,04040102683,"81, Kapoor Street, Chennai, Tamil Nadu",2021-07-07,Yes,American,27,2.97
c1a8ea7c-f306-4f12-9c1e-909cd1e4f0b9,Jacob Rajan,haritasrinivasan@example.com,+917013846133,"80/34, Gaba Circle, Chennai, Tamil Nadu",2021-05-15,No,American,13,4.0
933f462a-3f57-422a-9c0e-12ae027ba101,Bhanumati Devan,sanya09@example.org,3450550560,"H.No. 03
Pingle Street, Chennai, Tamil Nadu",2023-12-29,No,Chinese,16,2.38
87498158-4208-44f2-9f49-be5e5c53e32a,Osha Dasgupta,udant96@example.org,+910124635441,"17/308, Shroff Street, Chennai, Tamil Nadu",2023-10-31,Yes,Chinese,18,2.87
998b3a47-0f9b-45bc-919a-e784d18341d5,Varenya Merchant,samuel71@example.com,+919475287363,"14, Pau Path, Chennai, Tamil Nadu",2022-03-11,Yes,Indian,25,3.23
bb111028-d36f-409e-ab2f-4bac2614715c,Ubika Kara,ojasvikaur@example.net,+912531348467,"H.No. 379, Lalla Ganj, Chennai, Tamil Nadu",2024-04-08,No,Italian,48,1.42
b322d43a-b773-444a-8292-d8179743a6de,Chaman Walia,biralka@example.com,+913233829906,"H.No. 540
Lanka Marg, Chennai, Tamil Nadu",2021-08-05,Yes,Chinese,35,1.7
5d497425-d3c1-488d-8fc4-eb1c77f2aec8,Max Dhillon,yanand@example.org,02145213911,"367
Ben Zila, Chennai, Tamil Nadu",2024-01-24,Yes,Italian,33,4.7
ad2bb784-0ac7-42c4-90a6-4c808a3b8ed4,Damyanti Sundaram,guhaomaja@example.com,+912474096183,"69/403, Shukla Zila, Chennai, Tamil Nadu",2020-06-01,No,Mexican,50,2.13
3a2aba30-2741-439f-9b84-c7d4c5b18c1b,Sneha Johal,qabil26@example.org,03370917804,"H.No. 77
Purohit Street, Chennai, Tamil Nadu",2023-08-06,No,American,11,2.88
