delivery_person_id,name,contact_number,vehicle_type,total_deliveries,average_rating,location
5a718e4b-d9a8-4324-ad3b-ab29d472b894,Tanveer Shetty,+918752976063,Car,59,2.2,Chennai
9ee96a8e-6bca-484f-9de9-d9472ea72129,Tejas Jani,07971190195,Bike,88,1.67,Chennai
11358200-dab2-4926-826f-e77865c50c0d,Jasmit Khurana,+914006442884,Car,18,2.53,Chennai
c5df1de5-2662-42df-ad9c-1e9293e27f28,Advika Edwin,08190758700,Bike,86,4.63,Chennai
53d45d66-5034-4a87-a108-cbd516ab6ca7,Eta Sawhney,8271782080,Car,15,4.25,Chennai
9f22d846-cca9-4b49-96b4-53eccce98ae9,Upkaar Bahl,+916813955517,Bike,24,1.2,Chennai
24fc7193-e080-4881-9251-1a48e5c35e26,Chaaya Dani,5075050772,Bike,59,2.33,Chennai
b4220133-e7a0-45e3-aa58-2df360d5651f,Banjeet Saraf,+914526977225,Bike,14,1.85,Chennai
9b661348-1eec-41cb-8011-4a21da4632f2,Urvi Barad,4982284420,Bike,16,4.68,Chennai
15cff36c-33f6-4550-8ae4-1c2ffdfb305c,Ishanvi Muni,+913612288046,Bike,91,2.53,Chennai
5eaf87f5-8802-4774-9f6c-6199ccb404b0,Gopal Nigam,4930234750,Bike,63,2.06,Chennai
a2fc8830-fe80-481e-ac5c-6b6ab743722e,Zashil Kar,3451316084,Car,79,2.27,Chennai
b2fde559-7916-42d4-8401-55a14ca76ed3,Deepa Walla,2186373641,Bike,63,3.74,Chennai
078c84b3-3c7f-4406-ab50-8f72fdf67e72,Ryan Sinha,01219485831,Car,88,4.58,Chennai
9438a3eb-f1a2-4dc4-a4a4-7e00b701abd8,Rushil Varughese,08180276330,Bike,45,2.28,Chennai
b1048890-f38d-425d-af20-cb110b8a2034,Hiral Nayar,+910664651222,Bike,37,3.64,Chennai
fa168370-4f5d-4cbf-a6b2-d4a323ef908c,Gaurav Toor,6297000105,Bike,65,1.48,Chennai
f3345caa-bda2-435e-9f39-c641cd9fc159,Qasim Ahuja,+911735099786,Car,50,2.67,Chennai
b539f061-5a1c-407b-bf6d-9cf500086783,Meghana Nayar,02403115341,Car,11,3.24,Chennai
e6f44acc-1d59-4f8d-8302-5ae7f525fb30,Faras Kadakia,+912378454435,Bike,35,4.65,Chennai
088c4442-6dbe-45c1-9223-5af9dc33c80f,Timothy Chadha,+915371191552,Bike,53,4.63,Chennai
5ccf644b-200d-4bf3-96bc-e577ed72b0d1,Chakradhar Kata,8998440278,Car,85,3.73,Chennai
17c83390-d0c7-4f9c-8ef4-d403e7c49a76,Reyansh Rama,+912572629916,Car,34,2.54,Chennai
8450ffbb-b3a7-4738-8999-31fff1d6bf61,Harshil Prabhakar,+919040786388,Car,79,4.55,Chennai
3b62ec22-2275-422e-9519-a45d110a198e,Bhavani Karpe,02549488821,Bike,47,3.21,Chennai
decb51d3-1e95-414d-b1fa-053d71c06ef8,Ridhi Jani,+914405481469,Car,88,1.52,Chennai
73a5bb5e-27fa-459e-84ef-ec23fb799443,Oni Singhal,8628144603,Bike,56,2.64,Chennai
ef1ddfd9-224a-4421-bc97-e00d2f07cfdc,Vivaan Nanda,08018211338,Bike,100,1.7,Chennai
73cfb891-1254-4a60-82e8-e7f00d0fc3d4,Rachana Keer,3815663471,Bike,36,4.61,Chennai
49ebea1d-c669-43e5-9ff0-19fa7379032e,Samesh Vasa,00910122598,Bike,95,3.17,Chennai
d8a3fb0c-6543-4005-b37f-ce26eea4d5cc,Mohammed Patla,06159232242,Bike,93,3.25,Chennai
f7a7e05e-f150-4191-91d6-d4b0375cc969,Aryan Nigam,06448443075,Bike,68,3.27,Chennai
bd7390f3-67c9-4866-80e8-1aa25a511e59,Charita Wagle,5239279530,Bike,56,2.08,Chennai
bfbb1620-fceb-4537-b67c-454caadf28cc,Avni Prashad,1821413504,Bike,55,3.23,Chennai
7e959c03-3da3-4b5d-86ec-2c06357fb134,Dipta Shetty,0194186105,Car,37,4.37,Chennai
e07226bf-7d2a-421f-8c20-2b6d40ad7d7c,Irya Pingle,+914394381649,Car,18,3.76,Chennai
b8278f7a-11cc-4773-b941-d49d8cef1226,Darpan Bhagat,04599902043,Bike,98,4.56,Chennai
a0573615-8db5-4bb9-b1bf-2d194e8ba180,Girish Bhattacharyya,+912578628779,Bike,33,4.28,Chennai
62306352-ae3c-4c5d-82e9-09e6840ec844,Pranav Ganguly,6484673598,Car,74,1.69,Chennai
ac6866ca-ee86-4d86-a071-2aa447e1ce03,Avni Tella,+916708094867,Bike,67,3.6,Chennai
8d4daceb-9965-47fc-93d2-8a8a39cb25ce,Yashoda Sawhney,6452313371,Car,54,3.32,Chennai
4d104b9d-b719-4a55-9dcb-c40c78d8b188,Harrison Krishnamurthy,+917295319809,Bike,51,1.17,Chennai
f8235af6-23eb-4ed9-940f-6af12b1d88a8,Guneet Ahuja,00728559662,Car,28,2.18,Chennai
81bad64d-d8dd-4548-8096-4a6cadad74cc,Yasti Golla,+919100488205,Bike,10,1.72,Chennai
3e3e9a92-6d55-4d64-8f41-683dbc4fb9a4,Adya Mistry,05790870303,Bike,59,4.47,Chennai
3e8abcc4-cafd-4d3f-90a1-4087e80221c2,Kalpit Ramakrishnan,4372448545,Car,67,1.13,Chennai
ddac4e82-0ba8-4ea4-bdb1-57dac1e3e953,Noah Grewal,03669364191,Car,34,4.81,Chennai
b7d78de8-779b-41c8-b351-4c758a9a01b3,Tejas Patel,+910861542840,Car,61,3.81,Chennai
d2269445-8585-4a10-b8b1-7eb6fc3c9c96,Varenya Pai,3218793531,Bike,37,3.2,Chennai
857511d3-0d20-42ae-96eb-75edc9230167,Utkarsh Karpe,00441647048,Bike,49,1.39,Chennai
